lengths GPU,times w/o post-processing GPU,times for only prediction GPU,times w/o conversion GPU,times total GPU
72,0.045861005783081,0.0035274028778076,0.2314536571502685,0.2737879753112793
72,0.0457243919372558,0.0039935111999511,0.2294697761535644,0.2712011337280273
72,0.0442419052124023,0.0038609504699707,0.2275371551513672,0.2679188251495361
72,0.0459938049316406,0.0035400390625,0.238816499710083,0.2812714576721191
72,0.0453391075134277,0.0037181377410888,0.2308001518249511,0.2724218368530273
72,0.0466845035552978,0.0035405158996582,0.2302389144897461,0.2733838558197021
72,0.0458660125732421,0.0035488605499267,0.2316398620605468,0.2739579677581787
72,0.0451626777648925,0.0035271644592285,0.2295093536376953,0.2711455821990967
72,0.0481691360473632,0.0035398006439208,0.2324109077453613,0.2770414352416992
72,0.0463142395019531,0.0035173892974853,0.2298877239227295,0.2726855278015136
72,0.0443525314331054,0.003535509109497,0.2304868698120117,0.2713050842285156
72,0.0485093593597412,0.0035333633422851,0.2332069873809814,0.2781839370727539
72,0.046194314956665,0.0035352706909179,0.2317898273468017,0.2744495868682861
72,0.0448734760284423,0.0035338401794433,0.2283756732940673,0.2697162628173828
72,0.0461413860321044,0.0035321712493896,0.2287275791168213,0.2713379859924316
72,0.0475556850433349,0.0035216808319091,0.2325594425201416,0.2765939235687256
72,0.044788122177124,0.0035264492034912,0.2351112365722656,0.2763738632202148
72,0.0432043075561523,0.0035233497619628,0.2257602214813232,0.2654426097869873
72,0.0454316139221191,0.0035188198089599,0.2256062030792236,0.2675199508666992
72,0.0472514629364013,0.0035414695739746,0.2344555854797363,0.2781662940979004
72,0.0447344779968261,0.0035278797149658,0.2330288887023925,0.2742362022399902
72,0.0451006889343261,0.0037105083465576,0.234525442123413,0.275916576385498
72,0.044814109802246,0.0035338401794433,0.2282638549804687,0.2695448398590088
72,0.0428230762481689,0.0035390853881835,0.2279770374298095,0.2672617435455322
72,0.0473737716674804,0.0035293102264404,0.2361023426055908,0.2799477577209472
72,0.0424704551696777,0.0035195350646972,0.221956729888916,0.2609083652496338
72,0.04685640335083,0.0035333633422851,0.2334616184234619,0.2767856121063232
72,0.0457165241241455,0.0035285949707031,0.236910343170166,0.2790987491607666
72,0.0448889732360839,0.0035278797149658,0.2295825481414795,0.270944595336914
72,0.0479094982147216,0.0042839050292968,0.2335302829742431,0.2771573066711426
