lengths,times w/o post-processing,times for only prediction,times w/o conversion,times total
72,0.03678154945373535,0.03643321990966797,0.06359004974365234,0.06393957138061523
72,0.037984609603881836,0.03762459754943848,0.06477761268615723,0.0651390552520752
72,0.03677105903625488,0.03643655776977539,0.06378006935119629,0.06411552429199219
72,0.03692030906677246,0.03658604621887207,0.06463503837585449,0.06497049331665039
72,0.03720903396606445,0.03686070442199707,0.062286376953125,0.06263566017150879
72,0.03666806221008301,0.03631711006164551,0.06333684921264648,0.06368875503540039
72,0.03674435615539551,0.036402225494384766,0.06373214721679688,0.06407570838928223
72,0.0367887020111084,0.036449432373046875,0.06302213668823242,0.06336283683776855
72,0.0366823673248291,0.036340951919555664,0.0639944076538086,0.06433701515197754
72,0.03800058364868164,0.03763461112976074,0.06590986251831055,0.06627702713012695
72,0.039119720458984375,0.038762807846069336,0.06590414047241211,0.06626272201538086
72,0.03793811798095703,0.0375821590423584,0.06523251533508301,0.06559014320373535
72,0.03811311721801758,0.0377652645111084,0.0652153491973877,0.06556487083435059
72,0.0381772518157959,0.03781890869140625,0.06490588188171387,0.06526613235473633
72,0.0378108024597168,0.037453651428222656,0.06560850143432617,0.06596708297729492
72,0.0376582145690918,0.03731870651245117,0.06432151794433594,0.06466269493103027
72,0.03712582588195801,0.0367739200592041,0.06418609619140625,0.06453990936279297
73,0.03616595268249512,0.035805702209472656,0.06335210800170898,0.06371378898620605
73,0.03619551658630371,0.03583478927612305,0.0643773078918457,0.06473970413208008
73,0.03579449653625488,0.035445451736450195,0.06348991394042969,0.06384015083312988
73,0.03572511672973633,0.035391807556152344,0.06261825561523438,0.06295299530029297
73,0.03622102737426758,0.03588104248046875,0.06308293342590332,0.06342434883117676
73,0.03651094436645508,0.036174774169921875,0.06341958045959473,0.06375741958618164
73,0.03664374351501465,0.03629422187805176,0.06357693672180176,0.06392788887023926
73,0.03684520721435547,0.036485910415649414,0.0642094612121582,0.06456995010375977
73,0.03648805618286133,0.03613567352294922,0.06357908248901367,0.0639333724975586
73,0.03604626655578613,0.03571510314941406,0.06337547302246094,0.06370806694030762
73,0.03610491752624512,0.0357661247253418,0.06394195556640625,0.06428170204162598
73,0.03609323501586914,0.03574395179748535,0.06405091285705566,0.06440138816833496
73,0.03584766387939453,0.035536766052246094,0.06283330917358398,0.06314516067504883
73,0.03580904006958008,0.03547501564025879,0.06332564353942871,0.06366086006164551
73,0.03645634651184082,0.03609919548034668,0.0637366771697998,0.06409525871276855
73,0.03615999221801758,0.03582358360290527,0.06346321105957031,0.06380105018615723
73,0.03694295883178711,0.03659987449645996,0.06392478942871094,0.0642693042755127
73,0.03692436218261719,0.036581993103027344,0.06454706192016602,0.06489038467407227
73,0.03694295883178711,0.03659176826477051,0.06575441360473633,0.06610727310180664
73,0.03705430030822754,0.03669404983520508,0.06424188613891602,0.06460356712341309
73,0.03675198554992676,0.03640127182006836,0.06494879722595215,0.06530094146728516
73,0.036583900451660156,0.03623056411743164,0.06429934501647949,0.06465411186218262
73,0.0360722541809082,0.03574347496032715,0.06428408622741699,0.06461453437805176
73,0.036477088928222656,0.036128997802734375,0.06392836570739746,0.06427812576293945
73,0.03758740425109863,0.03723764419555664,0.06444740295410156,0.06479883193969727
73,0.03749990463256836,0.037148475646972656,0.06440258026123047,0.06475543975830078
73,0.036612749099731445,0.03626370429992676,0.06537818908691406,0.06572866439819336
73,0.03702569007873535,0.03667569160461426,0.06434297561645508,0.06469464302062988
73,0.03646397590637207,0.0361173152923584,0.06500625610351562,0.0653541088104248
73,0.03662228584289551,0.036263465881347656,0.06435918807983398,0.06471896171569824
73,0.0365452766418457,0.036188364028930664,0.0645134449005127,0.06487202644348145
