Length,Non-standard basepairs,F1 score
1328.0,17.0,0.939130425453186
1330.0,15.0,0.9418060183525084
1332.0,13.0,0.956341028213501
1333.0,22.0,0.944444477558136
1334.0,23.0,0.9450101852416992
1334.0,22.0,0.9411765336990356
1335.0,18.0,0.9472222328186036
1335.0,16.0,0.948682427406311
1335.0,15.0,0.948682427406311
1335.0,21.0,0.9415041208267212
1337.0,17.0,0.9461756348609924
1338.0,27.0,0.8999328017234802
1338.0,23.0,0.919508934020996
1340.0,24.0,0.9269255995750428
1340.0,24.0,0.9430676698684692
1341.0,19.0,0.9433169960975648
1342.0,29.0,0.9113923907279968
1343.0,21.0,0.9416725039482116
1344.0,19.0,0.9475138187408448
1344.0,18.0,0.9388614892959596
1344.0,20.0,0.935870349407196
1344.0,21.0,0.9327237010002136
1346.0,18.0,0.9473684430122375
1347.0,26.0,0.9387186765670776
1348.0,22.0,0.9387474060058594
1349.0,29.0,0.8360902070999146
1351.0,22.0,0.937541961669922
1352.0,19.0,0.9338959455490112
1353.0,28.0,0.9022346138954164
1355.0,21.0,0.9376285076141356
1356.0,21.0,0.9277356863021852
1358.0,25.0,0.9243466258049012
1359.0,21.0,0.923497200012207
1359.0,22.0,0.9331514239311218
1361.0,24.0,0.913103461265564
1361.0,24.0,0.9046320915222168
1362.0,24.0,0.9208053350448608
1363.0,21.0,0.9410204887390136
1364.0,24.0,0.9208053350448608
1365.0,17.0,0.9486486315727234
1366.0,19.0,0.9406952857971193
1366.0,25.0,0.92103511095047
1367.0,24.0,0.9306545853614808
1367.0,24.0,0.9306545853614808
1367.0,19.0,0.9428387880325316
1368.0,21.0,0.9356277585029602
1369.0,20.0,0.9386667013168336
1369.0,17.0,0.930051863193512
1370.0,30.0,0.9209993481636048
1370.0,19.0,0.9437585473060608
1371.0,21.0,0.9304813146591188
1372.0,22.0,0.9394145011901855
1373.0,24.0,0.9217171669006348
1373.0,17.0,0.9510869979858398
1374.0,17.0,0.9434220194816588
1374.0,25.0,0.9285262823104858
1375.0,24.0,0.9337539672851562
1375.0,24.0,0.9337539672851562
1375.0,25.0,0.931056261062622
1375.0,25.0,0.929879903793335
1375.0,24.0,0.9324068427085876
1375.0,24.0,0.8620198965072632
1376.0,25.0,0.9337539672851562
1376.0,24.0,0.935097634792328
1376.0,26.0,0.931056261062622
1376.0,25.0,0.9325771331787108
1376.0,26.0,0.9337539672851562
1376.0,26.0,0.929879903793335
1376.0,24.0,0.935097634792328
1376.0,24.0,0.935097634792328
1376.0,24.0,0.9337539672851562
1376.0,21.0,0.9370344877243042
1376.0,25.0,0.9337539672851562
1376.0,26.0,0.9258084297180176
1376.0,21.0,0.9426063299179076
1377.0,20.0,0.9379128813743592
1378.0,30.0,0.9201277494430542
1379.0,31.0,0.9138888716697692
1379.0,25.0,0.9413332939147948
1379.0,21.0,0.9441488981246948
1380.0,25.0,0.9286190867424012
1381.0,22.0,0.9391534328460692
1382.0,22.0,0.9339437484741212
1382.0,23.0,0.929671823978424
