,Non-standard,Watson-Crick,Paired with N,Wobble
435,27,367,0,56
436,26,362,0,61
437,26,364,0,58
438,26,358,0,56
439,26,360,0,63
440,25,363,0,60
441,26,361,0,63
442,23,362,0,61
443,25,369,0,56
444,27,366,0,57
445,26,359,0,64
446,25,365,0,59
447,25,356,0,60
448,26,361,0,59
449,25,345,0,58
450,25,373,0,57
451,23,363,0,56
452,27,361,0,65
453,25,364,0,57
454,26,362,1,61
455,26,362,1,61
456,26,366,0,58
457,26,357,0,63
458,24,343,0,62
459,26,360,0,60
460,26,362,0,62
461,26,364,0,60
462,23,359,0,62
463,25,368,0,57
464,24,356,1,64
465,25,355,0,57
466,25,360,0,60
467,26,351,0,63
468,25,354,0,62
469,27,361,0,59
470,26,359,0,60
471,25,354,0,57
472,23,359,2,64
473,25,361,1,61
474,27,360,0,60
475,26,358,0,61
476,25,360,0,55
477,26,353,0,63
478,24,363,0,55
479,26,363,5,56
480,26,364,1,56
481,27,362,1,60
482,25,368,0,57
483,25,365,0,58
484,26,365,0,56
485,26,342,0,62
486,26,358,1,61
487,25,367,0,58
488,28,354,0,61
489,28,343,0,61
490,26,360,0,63
491,26,357,0,61
492,26,357,0,63
493,25,366,0,57
494,27,352,0,59
495,27,361,0,60
496,23,367,0,56
497,24,351,0,63
498,26,350,0,59
499,26,359,0,61
500,26,349,0,61
501,26,348,0,61
502,25,338,0,60
503,26,345,0,60
504,26,344,0,60
505,26,344,0,60
506,26,346,0,60
507,27,349,3,59
508,24,343,0,63
509,25,347,6,60
510,26,352,0,62
511,27,362,0,61
512,26,356,0,61
513,26,359,0,63
514,25,361,0,63
515,26,349,0,63
516,27,363,0,55
517,27,365,0,56
518,25,367,0,59
519,25,350,4,53
520,25,356,3,58
521,25,355,0,60
522,25,355,0,64
523,26,363,0,60
524,23,366,0,56
525,25,366,0,58
526,26,362,0,61
527,25,365,0,57
528,29,360,1,60
529,26,364,0,56
530,26,368,0,56
531,24,359,1,62
532,25,365,0,60
533,26,364,1,56
534,25,363,0,58
535,26,362,0,60
536,26,342,3,59
537,26,358,0,64
538,26,355,0,62
539,26,333,0,56
540,26,354,0,60
541,27,362,0,61
542,25,348,0,57
543,25,366,0,60
544,27,366,0,56
545,23,362,0,56
546,26,362,0,60
547,25,361,0,58
548,27,363,0,60
549,25,351,0,59
550,26,361,0,61
551,25,362,0,63
552,26,355,0,59
553,25,361,0,57
554,26,365,0,56
555,26,359,0,63
556,25,364,0,57
557,26,358,0,60
558,26,364,0,60
559,26,366,0,58
560,27,364,0,57
561,26,360,0,58
562,25,366,0,58
563,23,355,0,58
564,25,365,0,58
565,23,364,0,57
566,26,355,0,54
567,25,363,0,60
568,27,341,0,60
