length,family,nussinov_precision,nussinov_recall,nussinov_f1,nussinov_precision_shift,nussinov_recall_shift,nussinov_f1_shift,viennaRNA_precision,viennaRNA_recall,viennaRNA_f1,viennaRNA_precision_shift,viennaRNA_recall_shift,viennaRNA_f1_shift,contrafold_precision,contrafold_recall,contrafold_f1,contrafold_precision_shift,contrafold_recall_shift,contrafold_f1_shift,CNNfold_precision,CNNfold_recall,CNNfold_f1,CNNfold_precision_shift,CNNfold_recall_shift,CNNfold_f1_shift,RNAUnet_precision,RNAUnet_recall,RNAUnet_f1,RNAUnet_precision_shift,RNAUnet_recall_shift,RNAUnet_f1_shift
367,tmRNA,0.2030075192451477,0.2755101919174194,0.2337662279605865,0.240601509809494,0.3265306055545807,0.2770562767982483,0.4054054021835327,0.4591836631298065,0.4306220114231109,0.4144144058227539,0.4693877696990967,0.440191388130188,0.4017857015132904,0.4591836631298065,0.4285714328289032,0.4017857015132904,0.4591836631298065,0.4285714328289032,0.9052631855010986,0.8775510191917419,0.8911917209625244,0.9578947424888612,0.9285714030265808,0.9430052042007446,0.9793814420700072,0.9693877696990968,0.9743589758872986,0.9793814420700072,0.9693877696990968,0.9743589758872986
118,5S rRNA,0.095238097012043,0.1142857149243354,0.1038961037993431,0.1666666716337204,0.2000000029802322,0.1818181872367859,0.9142857193946838,0.9142857193946838,0.9142857193946838,0.9142857193946838,0.9142857193946838,0.9142857193946838,0.9166666865348816,0.9428571462631226,0.9295774698257446,0.9166666865348816,0.9428571462631226,0.9295774698257446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285731315612,0.9855071902275084,1.0,0.9714285731315612,0.9855071902275084
58,SRP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,tmRNA,0.0640000030398368,0.0784313753247261,0.0704845860600471,0.0799999982118606,0.0980392172932624,0.0881057158112526,0.557692289352417,0.5686274766921997,0.5631067752838135,0.5769230723381042,0.5882353186607361,0.582524299621582,0.5420560836791992,0.5686274766921997,0.5550239682197571,0.5514018535614014,0.5784313678741455,0.5645932555198669,0.8028169274330139,0.5588235259056091,0.6589595675468445,0.8028169274330139,0.5588235259056091,0.6589595675468445,0.9529411792755128,0.7941176295280457,0.8663101196289062,0.9529411792755128,0.7941176295280457,0.8663101196289062
269,SRP,0.0693069323897361,0.0804597735404968,0.074468083679676,0.1188118830323219,0.1379310339689254,0.1276595741510391,0.4408602118492126,0.4712643623352051,0.4555555582046509,0.4516128897666931,0.4827586114406585,0.4666666686534881,0.4583333432674408,0.5057471394538879,0.4808743596076965,0.4583333432674408,0.5057471394538879,0.4808743596076965,0.6415094137191772,0.3908045887947082,0.4857142567634582,0.6603773832321167,0.4022988379001617,0.5,1.0,0.9655172228813172,0.9824560880661012,1.0,0.9655172228813172,0.9824560880661012
75,tRNA,0.0769230797886848,0.095238097012043,0.0851063877344131,0.2307692319154739,0.2857142984867096,0.2553191483020782,0.7272727489471436,0.761904776096344,0.7441860437393188,0.7272727489471436,0.761904776096344,0.7441860437393188,0.9545454382896424,1.0,0.9767441749572754,0.9545454382896424,1.0,0.9767441749572754,0.9545454382896424,1.0,0.9767441749572754,0.9545454382896424,1.0,0.9767441749572754,1.0,0.9523809552192688,0.9756097793579102,1.0,0.9523809552192688,0.9756097793579102
305,SRP,0.0990990996360778,0.1122448965907096,0.1052631586790084,0.1171171143651008,0.1326530575752258,0.1244019120931625,0.8399999737739563,0.8571428656578064,0.8484848141670227,0.8600000143051147,0.8775510191917419,0.868686854839325,0.7454545497894287,0.8367347121238708,0.7884615063667297,0.7727272510528564,0.8673469424247742,0.8173076510429382,0.9523809552192688,0.8163265585899353,0.8791208863258362,0.9642857313156128,0.8265306353569031,0.8901098966598511,0.978723406791687,0.9387755393981934,0.9583333730697632,0.9893617033958436,0.9489796161651612,0.96875
103,SRP,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444477558136,0.5,0.4705882668495178,0.4444444477558136,0.5,0.4705882668495178,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.6428571343421936,0.5625,0.6000000238418579,0.6428571343421936,0.5625,0.6000000238418579,0.9677419066429138,0.9375,0.952380895614624,0.9677419066429138,0.9375,0.952380895614624
126,5S rRNA,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.7878788113594055,0.7222222685813904,0.7948718070983887,0.939393937587738,0.8611111044883728,0.5714285969734192,0.7272727489471436,0.64000004529953,0.738095223903656,0.939393937587738,0.8266666531562805,0.8918918967247009,1.0,0.9428570866584778,0.8918918967247009,1.0,0.9428570866584778,1.0,1.0,1.0,1.0,1.0,1.0
386,tmRNA,0.1503759324550628,0.1941747516393661,0.1694915294647216,0.1729323267936706,0.223300963640213,0.1949152648448944,0.2347826063632965,0.2621359229087829,0.2477064132690429,0.2347826063632965,0.2621359229087829,0.2477064132690429,0.4086021482944488,0.3689320385456085,0.3877550959587097,0.4086021482944488,0.3689320385456085,0.3877550959587097,0.7872340679168701,0.7184466123580933,0.7512691020965576,0.7872340679168701,0.7184466123580933,0.7512691020965576,0.9560439586639404,0.844660222530365,0.8969072103500366,0.9670329689979552,0.8543689250946045,0.9072165489196776
308,SRP,0.1160714253783226,0.1326530575752258,0.1238095164299011,0.125,0.1428571492433548,0.1333333402872085,0.594059407711029,0.6122449040412903,0.6030150651931763,0.6138613820075989,0.6326530575752258,0.6231155395507812,0.5897436141967773,0.704081654548645,0.6418604850769043,0.6581196784973145,0.7857142686843872,0.7162790894508362,0.9545454382896424,0.8571428656578064,0.9032257795333862,0.9545454382896424,0.8571428656578064,0.9032257795333862,1.0,0.9081632494926452,0.9518716335296632,1.0,0.9081632494926452,0.9518716335296632
117,5S rRNA,0.2051282078027725,0.25,0.2253521233797073,0.2051282078027725,0.25,0.2253521233797073,0.7894737124443054,0.9375,0.8571428656578064,0.8157894611358643,0.96875,0.8857142329216003,0.761904776096344,1.0,0.8648648858070374,0.761904776096344,1.0,0.8648648858070374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
122,5S rRNA,0.1860465109348297,0.2285714298486709,0.2051281929016113,0.1860465109348297,0.2285714298486709,0.2051281929016113,0.2162162214517593,0.2285714298486709,0.222222238779068,0.2162162214517593,0.2285714298486709,0.222222238779068,0.2162162214517593,0.2285714298486709,0.222222238779068,0.2162162214517593,0.2285714298486709,0.222222238779068,0.9722222089767456,1.0,0.98591548204422,0.9722222089767456,1.0,0.98591548204422,1.0,0.9714285731315612,0.9855071902275084,1.0,0.9714285731315612,0.9855071902275084
77,SRP,0.3928571343421936,0.47826087474823,0.4313725233078003,0.5357142686843872,0.6521739363670349,0.5882353186607361,0.8399999737739563,0.91304349899292,0.875,0.8799999952316284,0.95652174949646,0.9166666269302368,0.807692289352417,0.91304349899292,0.8571428060531616,0.8461538553237915,0.95652174949646,0.8979591727256775,0.8333333134651184,0.8695651888847351,0.8510637879371643,0.875,0.91304349899292,0.8936170339584351,0.6842105388641357,0.5652173757553101,0.6190476417541504,0.6842105388641357,0.5652173757553101,0.6190476417541504
118,5S rRNA,0.1627907007932663,0.2000000029802322,0.1794871687889099,0.2093023210763931,0.2571428716182709,0.2307692170143127,0.2051282078027725,0.2285714298486709,0.2162162214517593,0.2051282078027725,0.2285714298486709,0.2162162214517593,0.2162162214517593,0.2285714298486709,0.222222238779068,0.2162162214517593,0.2285714298486709,0.222222238779068,0.9722222089767456,1.0,0.98591548204422,0.9722222089767456,1.0,0.98591548204422,1.0,1.0,1.0,1.0,1.0,1.0
117,5S rRNA,0.1363636404275894,0.1764705926179886,0.1538461595773697,0.1818181872367859,0.2352941185235977,0.2051282078027725,0.7837837934494019,0.8529411554336548,0.816901445388794,0.8648648858070374,0.9411764740943908,0.9014084339141846,0.6585366129875183,0.7941176295280457,0.7200000286102295,0.7804877758026123,0.9411764740943908,0.8533333539962769,0.970588207244873,0.970588207244873,0.970588207244873,1.0,1.0,1.0,0.8709677457809448,0.7941176295280457,0.8307693004608154,1.0,0.911764681339264,0.9538461565971376
